# Les 2000 verbes français les plus fréquents, plus les
# quatre écrits à la main. Source : Lexique 3.83 (lexique.org),
# moyenne des fréquences par lemme dans les sous-titres de
# films et dans les livres, par million de mots. Ne sont
# gardés que les verbes que Verbiste sait conjuguer.
# verbe	fréquence
crépiter	5.75
surnommer	5.74
haver	5.74
teinter	5.73
décéder	5.71
extirper	5.71
fuser	5.69
frire	5.68
foudroyer	5.67
fredonner	5.67
griser	5.65
souder	5.62
tâtonner	5.62
écoeurer	5.61
approprier	5.60
éponger	5.58
meubler	5.57
saper	5.57
visser	5.57
arborer	5.57
cavaler	5.55
siffloter	5.54
gaffer	5.54
rétrécir	5.54
démasquer	5.54
chavirer	5.53
exaucer	5.53
écorcher	5.53
trafiquer	5.51
coter	5.51
bafouiller	5.50
secourir	5.49
taquiner	5.49
somnoler	5.49
exterminer	5.45
assembler	5.45
poindre	5.45
fléchir	5.43
méprendre	5.43
combiner	5.42
jucher	5.42
bronzer	5.42
camoufler	5.42
collectionner	5.41
débloquer	5.40
